time_s,u_i_V,u_R_V,u_L_V
0.00250000208,-3.0,2.9998420737172964,-5.999842073717296
0.002500002240000001,-3.0,2.9998228742533932,-5.999822874253393
0.002500002560000001,-3.0,2.999784475509898,-5.999784475509898
0.002500003200000001,-3.0,2.9997076787601618,-5.999707678760162
0.002500004480000001,-3.0,2.9995540882096456,-5.999554088209646
0.002500007040000002,-3.0,2.999246918904067,-5.999246918904067
0.002500012160000004,-3.0,2.9986326274716966,-5.998632627471697
0.002500022400000007,-3.0,2.997404233297962,-5.997404233297962
0.002500042880000014,-3.0,2.994948199521339,-5.994948199521339
0.002500083840000028,-3.0,2.990039148706739,-5.990039148706739
0.002500165760000056,-3.0,2.9802331016856796,-5.98023310168568
0.002500329600000112,-3.0,2.9606691274862964,-5.960669127486296
0.002500657280000224,-3.0,2.921732872637948,-5.921732872637948
0.002501312640000447,-3.0,2.8446208966265134,-5.844620896626513
0.002502623360000894,-3.0,2.6933898818505204,-5.69338988185052
0.002505244800001788,-3.0,2.4025173319760658,-5.402517331976066
0.002510487680003576,-3.0,1.864243387900519,-4.864243387900519
0.002520973440007152,-3.0,0.9409517579802551,-3.940951757980255
0.002541944960014303,-3.0,-0.42544834291118816,-2.574551657088812
0.002576682352913021,-3.0,-1.752967162444678,-1.247032837555322
0.002610915962520687,-3.0,-2.389028956831048,-0.6109710431689521
0.002662405327298611,-3.0,-2.8043519854255003,-0.1956480145744997
0.002720722730177181,-3.0,-2.9484888127568305,-0.0515111872431695
0.002780722730177181,-3.0,-2.9871222031650606,-0.01287779683493939
0.002840722730177181,-3.0,-2.996780550785228,-0.00321944921477213
0.002900722730177181,-3.0,-2.9991951376947967,-0.0008048623052032688
0.002960722730177181,-3.0,-2.999798784423321,-0.0002012155766788482
0.003,-3.0,-2.999912273128292,-8.772687170788274e-05
